𤭢	亠人人十瓦
𫟼	钅辶大
带	{卅}冖巾
代	亻弋
待	彳土寸
呆	口木
袋	亻弋衣
戴	戈十田共
黛	亻弋{里}灬
歹	一夕
贷	亻弋贝
逮	辶隶
怠	厶口心
殆	歹厶口
岱	亻弋山
玳	𤣩亻弋
呔	口太
傣	亻𡗗氺
迨	辶厶口
绐	纟厶口
叇	云辶隶
埭	土隶
骀	马厶口
轪	车大
垈	亻弋土
但	亻旦
淡	氵火火
担	扌旦
弹	弓丷田十
丹	⺆一丶
蛋	疋虫
胆	⺼旦
旦	日一
诞	讠廴正
耽	耳冖儿
惮	忄丷田十
石	丆口
眈	目冖儿
澹	氵⺈厂八亠二口
掸	扌丷田十
郸	丷田十⻏
殚	歹丷田十
啖	口火火
氮	气火火
儋	亻⺈厂八亠二口
聃	耳冉
箪	竹丷田十
亶	亠囗口旦
疸	疒旦
萏	艹⺈臼
瘅	疒丷田十
疍	疋旦
赕	贝火火
憺	忄⺈厂八亠二口
膻	⺼亠囗口旦
𫢸	亻丷田十
𬘘	纟冖儿
当	⺌彐
党	龸兄
荡	艹氵𠄎丿丿
挡	扌⺌彐
档	木⺌彐
裆	衤⺌彐
宕	宀石
砀	石𠄎丿丿
珰	𤣩⺌彐
凼	凵水
谠	讠龸兄
垱	土⺌彐
菪	艹宀石
筜	竹⺌彐
𣗋	木龸兄
𬍡	氵𠄎丿丿玉
到	𠫔土刂
倒	亻𠫔土刂
道	辶丷一自
刀	𠃌丿
导	巳寸
岛	{鸟减一}山
盗	冫欠皿
叨	口刀
蹈	𧾷爫臼
祷	礻{寿上丰}寸
捣	扌{鸟减一}山
稻	禾爫臼
悼	忄⺊日十
纛	龶母{具-八}小丿糸
忉	忄刀
氘	气{⿰丿丨}
捯	扌𠫔土刂
鱽	鱼刀
舠	舟刀
的	白勺
地	土也
得	彳旦寸
德	彳十罒一心
嘚	口彳旦寸
锝	钅旦寸
扽	扌屯
等	竹土寸
灯	火丁
登	癶一口䒑
瞪	目癶一口䒑
邓	又⻏
凳	癶一口䒑几
蹬	𧾷癶一口䒑
噔	口癶一口䒑
镫	钅癶一口䒑
磴	石癶一口䒑
戥	日生戈
嶝	山癶一口䒑
璒	𤣩癶一口䒑
第	竹𢎨
弟	丷𢎨
底	广氐
低	亻氐
帝	亠丷冖巾
敌	舌攵
抵	扌氐
递	辶丷𢎨
迪	辶由
